,land,neutral,negative,positive,kilometer,total,%neutral,%negative,%positive
0,türkei,6810,1297,331,2350.0,8438,0.8070632851386584,0.15370940981275183,0.03922730504858971
1,polen,6091,2838,898,655.0,9827,0.6198229368067569,0.2887961738068587,0.09138088938638445
2,rumänien,2688,480,65,1223.0,3233,0.8314259201979586,0.14846891432106402,0.02010516548097742
3,griechenland,3641,1388,2686,1651.0,7715,0.47193778353856125,0.17990926766040183,0.3481529488010369
4,kroatien,3258,995,211,795.0,4464,0.7298387096774194,0.2228942652329749,0.04726702508960574
5,bulgarien,2537,1110,73,1482.0,3720,0.681989247311828,0.29838709677419356,0.019623655913978494
6,afghanistan,2931,567,107,4868.0,3605,0.8130374479889043,0.15728155339805824,0.029680998613037447
7,russland,1940,6254,57,5239.0,8251,0.2351230153920737,0.7579687310629014,0.006908253545024845
8,serbien,4779,1188,55,1045.0,6022,0.7935901693789439,0.1972766522749917,0.009133178346064431
9,portugal,4200,397,137,1945.0,4734,0.8871989860583016,0.08386142796789185,0.028939585973806504
10,frankreich,3947,2949,113,872.0,7009,0.5631331145669853,0.42074475674133255,0.016122128691682124
11,china,3280,2465,1627,7324.0,7372,0.4449267498643516,0.3343733043950081,0.22069994574064025
12,vietnam,2723,609,340,9102.0,3672,0.741557734204793,0.16584967320261437,0.09259259259259259
13,pakistan,860,1351,67,5373.0,2278,0.3775241439859526,0.5930640913081651,0.029411764705882353
14,irak,1761,803,317,3392.0,2881,0.611246095105866,0.27872266574106214,0.11003123915307185
15,niederlande,5809,1252,289,336.0,7350,0.7903401360544218,0.17034013605442178,0.03931972789115646
16,oesterreich,4144,281,37,506.0,4462,0.9287315105333931,0.06297624383684447,0.008292245629762439
17,bosnien,1921,992,154,973.0,3067,0.6263449625040757,0.32344310401043364,0.05021193348549071
18,spanien,2935,2335,835,1696.0,6105,0.48075348075348073,0.3824733824733825,0.13677313677313677
19,ukraine,2019,721,426,1548.0,3166,0.6377132027795326,0.2277321541377132,0.13455464308275428
20,syrien,2613,1020,174,2856.0,3807,0.6863672182821119,0.26792750197005516,0.045705279747832936
21,italien,2732,1483,2041,979.0,6256,0.4367007672634271,0.2370524296675192,0.3262468030690537
22,amerika,4111,1662,235,7765.0,6008,0.684254327563249,0.2766311584553928,0.039114513981358186
23,england,3779,3779,1482,772.0,9040,0.41803097345132745,0.41803097345132745,0.16393805309734513
24,schweiz,6411,253,46,532.0,6710,0.9554396423248882,0.03770491803278689,0.006855439642324888
25,arabisch,2289,1265,759,4145.0,4313,0.5307210758172966,0.29329932761418964,0.1759795965685138
26,afrika,2545,660,200,7087.0,3405,0.7474302496328928,0.19383259911894274,0.05873715124816446
27,iran,2719,907,253,4057.0,3879,0.7009538540861047,0.23382315029646816,0.06522299561742717
28,indien,4293,2433,1337,6637.0,8063,0.5324320972342801,0.30174872876100706,0.16581917400471288
29,israel,4367,928,39,2976.0,5334,0.8187101612298463,0.1739782527184102,0.007311586051743532
30,deutschland,9165,2923,1074,,13162,0.6963227473028415,0.2220787114420301,0.0815985412551284
