land,neutral,negative,positive,kilometer
türkei,6810,1297,331,2350.0
polen,6091,2838,898,655.0
rumänien,2688,480,65,1223.0
griechenland,3641,1388,2686,1651.0
kroatien,3258,995,211,795.0
bulgarien,2537,1110,73,1482.0
afghanistan,2931,567,107,4868.0
russland,1940,6254,57,5239.0
serbien,4779,1188,55,1045.0
portugal,4200,397,137,1945.0
frankreich,3947,2949,113,872
china,3280,2465,1627,7324
vietnam,2723,609,340,9102
pakistan,860,1351,67,5373
irak,1761,803,317,3392
niederlande,5809,1252,289,336
oesterreich,4144,281,37,506
bosnien,1921,992,154,973
spanien,2935,2335,835,1696
ukraine,2019,721,426,1548
syrien,2613,1020,174,2856
italien,2732,1483,2041,979
amerika,4111,1662,235,7765
england,3779,3779,1482,772
schweiz,6411,253,46,532
arabisch,2289,1265,759,4145
afrika,2545,660,200,7087
iran,2719,907,253,4057
indien,4293,2433,1337,6637
israel,4367,928,39,2976
deutschland,9165,2923,1074,
